depID;depLocX;depLocY;depName;delay;canceled;left;isExtra;liveURL;destID;destLocX;destLocY;destName;depTime;vehicleID;platformNormal;platform;occupancy
BE.NMBS.008400319;5.294278;51.69042;'s Hertogenbosch;;;;;;;;;;;;;;
BE.NMBS.008015345;6.105275;50.770832;Aachen Hbf;0;0;0;0;http://irail.be/stations/NMBS/008841004;BE.NMBS.008841004;5.566695;50.62455;Liège-Guillemins;1722371820;BE.NMBS.S415043;1;;
BE.NMBS.008015345;6.105275;50.770832;Aachen Hbf;0;0;0;0;http://irail.be/stations/NMBS/008841004;BE.NMBS.008841004;5.566695;50.62455;Liège-Guillemins;1722374220;BE.NMBS.S4318978;1;;
BE.NMBS.008895000;4.039653;50.942813;Aalst;0;0;0;0;http://irail.be/stations/NMBS/008833605;BE.NMBS.008833605;5.07966;50.747927;Landen;1722372180;BE.NMBS.IC3620;1;3;low
BE.NMBS.008895000;4.039653;50.942813;Aalst;0;0;0;0;http://irail.be/stations/NMBS/008892007;BE.NMBS.008892007;3.710675;51.035896;Gent-Sint-Pieters;1722372540;BE.NMBS.IC2243;1;2;low
BE.NMBS.008895000;4.039653;50.942813;Aalst;0;0;0;0;http://irail.be/stations/NMBS/008892007;BE.NMBS.008892007;3.710675;51.035896;Gent-Sint-Pieters;1722374340;BE.NMBS.IC3645;1;2;low
BE.NMBS.008895125;4.024407;50.948377;Aalst-Kerrebroek;;;;;;;;;;;;;;
BE.NMBS.008891140;3.447848;51.092295;Aalter;0;0;0;0;http://irail.be/stations/NMBS/008891009;BE.NMBS.008891009;3.216726;51.197226;Brugge;1722371820;BE.NMBS.IC1543;1;3;low
BE.NMBS.008891140;3.447848;51.092295;Aalter;0;0;0;0;http://irail.be/stations/NMBS/008892007;BE.NMBS.008892007;3.710675;51.035896;Gent-Sint-Pieters;1722372840;BE.NMBS.L572;1;1;low
BE.NMBS.008891140;3.447848;51.092295;Aalter;0;0;0;0;http://irail.be/stations/NMBS/008891009;BE.NMBS.008891009;3.216726;51.197226;Brugge;1722373620;BE.NMBS.L593;1;3;
BE.NMBS.008891140;3.447848;51.092295;Aalter;0;0;0;0;http://irail.be/stations/NMBS/008891009;BE.NMBS.008891009;3.216726;51.197226;Brugge;1722374100;BE.NMBS.IC2843;1;3;
BE.NMBS.008833209;4.824043;50.984406;Aarschot;0;0;0;0;http://irail.be/stations/NMBS/008831005;BE.NMBS.008831005;5.327627;50.930822;Hasselt;1722370860;BE.NMBS.IC2220;1;3;low
BE.NMBS.008833209;4.824043;50.984406;Aarschot;120;0;0;0;http://irail.be/stations/NMBS/008831005;BE.NMBS.008831005;5.327627;50.930822;Hasselt;1722371220;BE.NMBS.L2472;1;3;low
BE.NMBS.008833209;4.824043;50.984406;Aarschot;0;0;0;0;http://irail.be/stations/NMBS/008833001;BE.NMBS.008833001;4.715866;50.88228;Leuven;1722371640;BE.NMBS.L2492;1;1;low
BE.NMBS.008833209;4.824043;50.984406;Aarschot;0;0;0;0;http://irail.be/stations/NMBS/008892007;BE.NMBS.008892007;3.710675;51.035896;Gent-Sint-Pieters;1722372060;BE.NMBS.IC2244;1;1;low
BE.NMBS.008833209;4.824043;50.984406;Aarschot;0;0;0;0;http://irail.be/stations/NMBS/008833001;BE.NMBS.008833001;4.715866;50.88228;Leuven;1722372540;BE.NMBS.L2871;1;1;low
BE.NMBS.008833209;4.824043;50.984406;Aarschot;0;0;0;0;http://irail.be/stations/NMBS/008831005;BE.NMBS.008831005;5.327627;50.930822;Hasselt;1722373080;BE.NMBS.IC2621;1;3;
BE.NMBS.008833209;4.824043;50.984406;Aarschot;0;0;0;0;http://irail.be/stations/NMBS/008821006;BE.NMBS.008821006;4.421101;51.2172;Antwerpen-Centraal;1722373320;BE.NMBS.IC2644;1;1;low
BE.NMBS.008833209;4.824043;50.984406;Aarschot;0;0;0;0;http://irail.be/stations/NMBS/008833001;BE.NMBS.008833001;4.715866;50.88228;Leuven;1722373920;BE.NMBS.IC2922;1;1;low
BE.NMBS.008833209;4.824043;50.984406;Aarschot;0;0;0;0;http://irail.be/stations/NMBS/008821006;BE.NMBS.008821006;4.421101;51.2172;Antwerpen-Centraal;1722373920;BE.NMBS.L2894;1;3;low
BE.NMBS.008892288;3.418363;50.98446;Aarsele;;;;;;;;;;;;;;
BE.NMBS.008886546;3.847086;50.733095;Acren;720;0;0;0;http://irail.be/stations/NMBS/008895505;BE.NMBS.008895505;3.872328;50.771137;Geraardsbergen;1722370740;BE.NMBS.L4892;1;1;
BE.NMBS.008778127;3.4658;43.317498;Agde;;;;;;;;;;;;;;
BE.NMBS.008774176;6.648394;45.554202;Aime-la-Plagne;;;;;;;;;;;;;;
BE.NMBS.008874583;4.584552;50.429529;Aiseau;0;0;0;0;http://irail.be/stations/NMBS/008872009;BE.NMBS.008872009;4.438567;50.40471;Charleroi-Central;1722371100;BE.NMBS.S614593;1;1;
BE.NMBS.008874583;4.584552;50.429529;Aiseau;60;0;0;0;http://irail.be/stations/NMBS/008863008;BE.NMBS.008863008;4.86222;50.468794;Namur;1722371760;BE.NMBS.S614571;1;2;
BE.NMBS.008731901;5.433333;43.53333;Aix-en-Provence TGV;;;;;;;;;;;;;;
BE.NMBS.008774164;6.383617;45.673624;Albertville;;;;;;;;;;;;;;
